,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Year
0,Dalvin Cook,MIN,RB,25,10,10,0,0,0,0,0,219,1130,5.16,13,34,29,255,8.79,1,4,3,14,3,0,223,251.5,260.5,237.0,133,1,1,2020
1,Derrick Henry ,TEN,RB,26,11,11,0,0,0,0,0,256,1257,4.91,12,26,14,93,6.64,0,0,0,12,0,0,207,221.0,224.0,214.0,118,2,2,2020
2,Tyreek Hill,KAN,WR,26,11,11,0,0,0,0,0,10,60,6.00,1,101,68,1021,15.01,13,1,0,14,0,0,192,260.1,263.1,226.1,106,1,3,2020
3,Alvin Kamara,NOR,RB,25,11,6,0,0,0,0,0,128,585,4.57,8,83,68,646,9.50,4,1,0,12,0,0,195,263.1,269.1,229.1,106,3,4,2020
4,Kyler Murray ,ARI,QB,23,11,11,264,387,2814,19,9,97,650,6.70,10,0,0,0,0,0,4,2,10,0,0,292,291.6,308.6,300.6,100,1,5,2020
5,Patrick Mahomes ,KAN,QB,25,11,11,291,423,3497,30,2,43,215,5.00,2,1,0,0,0,0,2,1,2,0,2,291,291.4,300.4,293.4,100,2,6,2020
6,Travis Kelce,KAN,TE,31,11,11,1,2,4,0,0,0,0,0,0,98,74,978,13.22,7,1,1,7,0,0,138,212.0,216.0,175.0,77,1,7,2020
7,James Robinson,JAX,RB,22,11,11,0,0,0,0,0,194,890,4.59,6,47,36,280,7.78,2,2,1,8,1,0,165,201.0,208.0,183.0,76,4,8,2020
8,Davante Adams,GNB,WR,28,9,9,0,0,0,0,0,0,0,0,0,99,74,908,12.27,11,1,1,11,0,0,155,228.8,232.8,191.8,69,2,9,2020
9,Aaron Rodgers ,GNB,QB,37,11,11,261,381,3100,33,4,19,90,4.74,1,1,1,-6,-6.00,0,2,2,1,0,0,258,259.4,268.4,262.9,67,3,10,2020
10,Russell Wilson ,SEA,QB,32,10,10,256,362,2986,30,10,55,367,6.67,1,0,0,0,0,0,6,3,1,0,1,258,258.1,277.1,268.1,67,4,11,2020
11,Josh Allen ,BUF,QB,24,11,11,267,388,3028,22,8,81,311,3.84,6,1,1,12,12.00,1,5,5,7,0,0,257,258.4,277.4,265.9,66,5,12,2020
12,Deshaun Watson ,HOU,QB,25,11,11,250,363,3201,24,5,62,293,4.73,2,0,0,0,0,0,3,0,2,0,1,257,257.3,268.3,262.3,66,6,13,2020
13,Antonio Gibson ,WAS,RB,22,11,7,0,0,0,0,0,139,645,4.64,11,39,32,233,7.28,0,2,2,11,0,0,150,181.8,189.8,165.8,60,5,14,2020
14,Josh Jacobs,LVR,RB,22,11,11,0,0,0,0,0,206,782,3.80,9,34,27,175,6.48,0,2,2,9,0,0,146,172.7,180.7,159.2,56,6,15,2020
15,D.K. Metcalf,SEA,WR,23,10,10,0,0,0,0,0,0,0,0,0,77,48,862,17.96,9,1,1,9,0,0,138,186.2,190.2,162.2,53,3,16,2020
16,Will Fuller,HOU,WR,26,11,11,0,0,0,0,0,1,0,0.00,0,75,53,879,16.58,8,0,0,8,0,0,136,188.9,191.9,162.4,50,4,17,2020
17,Adam Thielen,MIN,WR,30,10,10,0,0,0,0,0,3,15,5.00,0,76,49,646,13.18,11,0,0,11,1,0,134,183.1,186.1,158.6,48,5,18,2020
